 , C0, C1, C2, C3,,segment,starting frame ,time
Time(s)/Cell Status, accepted, accepted, accepted, accepted,,0,0,0
17.086662,8.93E-05,0.008127611,0.01537218,0.004170451,,,,
17.136623,8.56E-05,0.00777458,0.01619844,0.003974238,,,,
17.186584,8.20E-05,0.007436883,0.0185746,0.003787257,,,,
17.236545,7.86E-05,0.007113855,0.01772879,0.003609073,,,,
17.286506,7.53E-05,0.008585182,0.02918705,0.003439272,,,,
17.336467,7.21E-05,0.01031288,0.02785799,0.003277461,,,,
17.386428,6.91E-05,0.009864926,0.02658945,0.003123262,,,,
17.436389,6.62E-05,0.009436434,0.02537867,0.002976317,,,,
17.48635,6.34E-05,0.009026553,0.02422303,0.002836287,,,,
17.536311,6.08E-05,0.008634476,0.02986942,0.002702844,,,,
17.586272,5.82E-05,0.008259429,0.02850929,0.00257568,,,,
17.636233,5.58E-05,0.007900672,0.0272111,0.002454498,,,,
17.686194,5.35E-05,0.007557499,0.02597201,0.002339018,,,,
17.736155,5.12E-05,0.01212837,0.02478935,0.002228971,,,,
17.786116,4.91E-05,0.01160157,0.02366055,0.002124102,,,,
17.836077,4.70E-05,0.01217791,0.02258314,0.002024167,,,,
17.886038,4.51E-05,0.01164895,0.0215548,0.001928933,,,,
17.935999,4.32E-05,0.01114297,0.02057328,0.00183818,,,,
17.98596,4.14E-05,0.01065896,0.02183678,0.001751697,,,,
18.035921,3.96E-05,0.01019598,0.02306969,0.001669282,,,,
18.085882,3.80E-05,0.009753105,0.02201919,0.001590745,,,,
18.135843,3.64E-05,0.009329469,0.02101653,0.001515903,,,,
18.185804,3.49E-05,0.008924234,0.02005952,0.001444583,,,,
18.235765,3.34E-05,0.008536601,0.01914609,0.001376617,,,,
18.285726,3.20E-05,0.008165805,0.01827426,0.01531057,,,,
18.335687,3.07E-05,0.007811115,0.01744212,0.01459024,,,,
18.385648,2.94E-05,0.007471832,0.01664788,0.01509407,,,,
18.435609,2.82E-05,0.007147286,0.0158898,0.01728482,,,,
18.48557,2.70E-05,0.006836836,0.02457834,0.0164716,,,,
18.535531,2.58E-05,0.006539871,0.02345914,0.01569664,,,,
18.585492,2.48E-05,0.006255805,0.02239091,0.01495814,,,,
18.635453,2.37E-05,0.005984078,0.02137131,0.01425438,,,,
18.685414,2.27E-05,0.005724154,0.02039815,0.02330934,,,,
18.735375,2.18E-05,0.009218085,0.0194693,0.02221268,,,,
18.785336,2.09E-05,0.01330331,0.01858275,0.02116761,,,,
18.835297,2.00E-05,0.01436516,0.01773657,0.02017171,,,,
18.885258,1.92E-05,0.01654053,0.01692892,0.01922266,,,,
18.935219,1.84E-05,0.01582208,0.01615804,0.01831827,,,,
18.98518,1.76E-05,0.01513483,0.01542227,0.01745643,,,,
19.035141,1.69E-05,0.01447743,0.01472,0.01663513,,,,
19.085102,1.61E-05,0.01384859,0.01404972,0.01585247,,,,
19.135063,1.55E-05,0.01324706,0.01340995,0.01510664,,,,
19.185024,1.48E-05,0.01267166,0.01279931,0.0143959,,,,
19.234985,1.42E-05,0.01212126,0.01221649,0.0137186,,,,
19.284946,1.36E-05,0.01159476,0.0116602,0.01307316,,,,
19.334907,1.30E-05,0.01109113,0.01112924,0.01245809,,,,
19.384868,1.25E-05,0.01111255,0.01062246,0.01699112,,,,
19.434829,1.20E-05,0.01402735,0.01013875,0.01619172,,,,
19.48479,1.15E-05,0.01341806,0.009677078,0.02079289,,,,
19.534751,1.10E-05,0.01390684,0.009236423,0.01981462,,,,
19.584712,1.05E-05,0.01330278,0.008815834,0.02029284,,,,
19.634673,1.01E-05,0.01272496,0.008414397,0.02675418,,,,
19.684634,9.66E-06,0.01217224,0.00803124,0.02549544,,,,
19.734595,9.26E-06,0.01164352,0.007665529,0.03704281,,,,
19.784556,8.87E-06,0.01113778,0.01511825,0.03530001,,,,
19.834517,8.50E-06,0.010654,0.01442982,0.03536691,,,,
19.884478,8.14E-06,0.01019123,0.01377275,0.05910432,,,,
19.934439,7.80E-06,0.009748563,0.01314559,0.07095607,,,,
19.9844,7.48E-06,0.009325124,0.02102966,0.06761771,,,,
20.034361,7.16E-06,0.008920078,0.02230074,0.06443641,,,,
20.084322,6.86E-06,0.009069523,0.02185551,0.06140478,,,,
20.134283,6.58E-06,0.00867558,0.02875341,0.05851579,,,,
20.184244,6.30E-06,0.008298747,0.02744409,0.05576272,,,,
20.234205,6.04E-06,0.007938283,0.0261944,0.05313917,,,,
20.284166,5.78E-06,0.007593475,0.02500162,0.05063906,,,,
20.334127,5.54E-06,0.007263645,0.02386314,0.04825658,,,,
20.384088,5.31E-06,0.006948141,0.02277651,0.04598619,,,,
20.434049,5.09E-06,0.006646342,0.02173937,0.04382261,,,,
20.48401,4.88E-06,0.006357651,0.02074944,0.04176083,,,,
20.533971,4.67E-06,0.0060815,0.0198046,0.03979605,,,,
